C;Dragon Ball2, Vol. 1;Aventuras de Goku...;13.00;250;Aventuras,Fantasia;192;Akira Toriyama;Viz Media;2008,10,2;;;;
J;Risk2;Juego de conquista global.;44.80;25;Estrategia,Accion;;;;;2;>10 años;TABLERO;;;
F;Funko Star Wars Pop! Maul2;Figura Sith.;15.00;20;CienciaFiccion,Coleccion;;;;;;;;Funko Europe;Vinilo;10.9cm alto
J;Monopoly2;Juego economico clasico.;33.5;30;Estrategia,Familiar;;;;;2;>8 años;TABLERO;;;
F;Mazinger Z2;Figura robot.;128.40;2;CienciaFiccion,Coleccion;;;;;;;;Kaiyodo;PVC;30cm alto
C;Oishimbo2;Cocina japonesa.;12.00;5;Familiar;272;Tetsu Kariya/Akira Hanasaki;Norma editorial;2015,11,15;;;;
C;One Piece Vol. 12;Aventura pirata.;9.95;300;Aventuras,Fantasia;208;Eiichiro Oda;Planeta Comic;2012,5,10;;;;
J;Catan2;Colonizacion y recursos.;35.00;40;Estrategia,Familiar;;;;;3;>10 años;TABLERO;;;
F;Batman Figura2;Figura DC.;25.50;15;Accion,Coleccion;;;;;;;;DC Collectibles;PVC;18cm alto
C;Naruto Vol. 12;Historia ninja.;8.50;200;Accion,Fantasia;192;Masashi Kishimoto;Panini;2011,3,20;;;;
J;Uno2;Cartas familiares.;12.00;100;Familiar;;;;;2;>6 años;CARTAS;;;
F;Figura Iron Man2;Figura Marvel.;45.99;10;Accion,Coleccion;;;;;;;;Hasbro;Plastico;20cm alto
C;Attack on Titan Vol. 12;Humanos vs titanes.;10.00;150;Accion,Fantasia;200;Hajime Isayama;Norma Editorial;2013,7,1;;;;
J;Dobble2;Reflejos y simbolos.;15.00;60;Familiar;;;;;2;>6 años;CARTAS;;;
F;Figura Goku SS2;Figura anime.;30.00;25;Fantasia,Coleccion;;;;;;;;Banpresto;PVC;25cm alto
C;Death Note Vol. 12;Cuaderno mortal.;9.00;180;Accion,Fantasia;200;Tsugumi Ohba/Takeshi Obata;Ivrea;2010,9,15;;;;
J;Carcassonne2;Losetas medievales.;28.00;35;Estrategia;;;;;2;>7 años;TABLERO;;;
F;Figura Spider-Man2;Heroe Marvel.;22.00;18;Accion,Coleccion;;;;;;;;Hasbro;Plastico;15cm alto
